"subject" "Activity" "timeBodyAccelerometer-mean()-X" "timeBodyAccelerometer-mean()-Y" "timeBodyAccelerometer-mean()-Z" "timeGravityAccelerometer-mean()-X" "timeGravityAccelerometer-mean()-Y" "timeGravityAccelerometer-mean()-Z" "timeBodyAccelerometerJerk-mean()-X" "timeBodyAccelerometerJerk-mean()-Y" "timeBodyAccelerometerJerk-mean()-Z" "timeBodyGyroscope-mean()-X" "timeBodyGyroscope-mean()-Y" "timeBodyGyroscope-mean()-Z" "timeBodyGyroscopeJerk-mean()-X" "timeBodyGyroscopeJerk-mean()-Y" "timeBodyGyroscopeJerk-mean()-Z" "timeBodyAccelerometerMagnitude-mean()" "timeGravityAccelerometerMagnitude-mean()" "timeBodyAccelerometerJerkMagnitude-mean()" "timeBodyGyroscopeMagnitude-mean()" "timeBodyGyroscopeJerkMagnitude-mean()" "frequencyBodyAccelerometer-mean()-X" "frequencyBodyAccelerometer-mean()-Y" "frequencyBodyAccelerometer-mean()-Z" "frequencyBodyAccelerometer-meanFreq()-X" "frequencyBodyAccelerometer-meanFreq()-Y" "frequencyBodyAccelerometer-meanFreq()-Z" "frequencyBodyAccelerometerJerk-mean()-X" "frequencyBodyAccelerometerJerk-mean()-Y" "frequencyBodyAccelerometerJerk-mean()-Z" "frequencyBodyAccelerometerJerk-meanFreq()-X" "frequencyBodyAccelerometerJerk-meanFreq()-Y" "frequencyBodyAccelerometerJerk-meanFreq()-Z" "frequencyBodyGyroscope-mean()-X" "frequencyBodyGyroscope-mean()-Y" "frequencyBodyGyroscope-mean()-Z" "frequencyBodyGyroscope-meanFreq()-X" "frequencyBodyGyroscope-meanFreq()-Y" "frequencyBodyGyroscope-meanFreq()-Z" "frequencyBodyAccelerometerMagnitude-mean()" "frequencyBodyAccelerometerMagnitude-meanFreq()" "frequencyBodyAccelerometerJerkMagnitude-mean()" "frequencyBodyAccelerometerJerkMagnitude-meanFreq()" "frequencyBodyGyroscopeMagnitude-mean()" "frequencyBodyGyroscopeMagnitude-meanFreq()" "frequencyBodyGyroscopeJerkMagnitude-mean()" "frequencyBodyGyroscopeJerkMagnitude-meanFreq()" "angle(timeBodyAccelerometerMean,gravity)" "angle(timeBodyAccelerometerJerkMean),gravityMean)" "angle(timeBodyGyroscopeMean,gravityMean)" "angle(timeBodyGyroscopeJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)" "timeBodyAccelerometer-std()-X" "timeBodyAccelerometer-std()-Y" "timeBodyAccelerometer-std()-Z" "timeGravityAccelerometer-std()-X" "timeGravityAccelerometer-std()-Y" "timeGravityAccelerometer-std()-Z" "timeBodyAccelerometerJerk-std()-X" "timeBodyAccelerometerJerk-std()-Y" "timeBodyAccelerometerJerk-std()-Z" "timeBodyGyroscope-std()-X" "timeBodyGyroscope-std()-Y" "timeBodyGyroscope-std()-Z" "timeBodyGyroscopeJerk-std()-X" "timeBodyGyroscopeJerk-std()-Y" "timeBodyGyroscopeJerk-std()-Z" "timeBodyAccelerometerMagnitude-std()" "timeGravityAccelerometerMagnitude-std()" "timeBodyAccelerometerJerkMagnitude-std()" "timeBodyGyroscopeMagnitude-std()" "timeBodyGyroscopeJerkMagnitude-std()" "frequencyBodyAccelerometer-std()-X" "frequencyBodyAccelerometer-std()-Y" "frequencyBodyAccelerometer-std()-Z" "frequencyBodyAccelerometerJerk-std()-X" "frequencyBodyAccelerometerJerk-std()-Y" "frequencyBodyAccelerometerJerk-std()-Z" "frequencyBodyGyroscope-std()-X" "frequencyBodyGyroscope-std()-Y" "frequencyBodyGyroscope-std()-Z" "frequencyBodyAccelerometerMagnitude-std()" "frequencyBodyAccelerometerJerkMagnitude-std()" "frequencyBodyGyroscopeMagnitude-std()" "frequencyBodyGyroscopeJerkMagnitude-std()"
1 "LAYING" 0.28754232606 -0.016427673722 -0.1138892106 0.6215510356 0.153978049 0.28411269464 0.05683099032 -0.011356376102 0.0070427911548 -0.094509272268 -0.042396775106 0.10121690628 -0.09793604188 -0.038774965136 -0.03066151584 -0.58488283668 -0.58488283668 -0.67684018824 -0.64562707756 -0.795657537 -0.622989192907 -0.58585741007 -0.6867020006 -0.23107244637 0.101320420896 0.146749352538 -0.67148353264 -0.63943487932 -0.7537210436 -0.017009788448 -0.106140222836 0.01493065277 -0.715183083452 -0.73363223 -0.68232781416 0.013104441258 -0.28763123338 -0.0010109096948 -0.658932209306 0.129732211276 -0.6444004768086 0.207627783006 -0.7350912692 -0.044503967016 -0.830651427 0.147393934567 -0.1173655667 -0.00767349092 0.15738264748 -0.016608984518 -0.4528707488 -0.03916154144 -0.19274433282 -0.6208060032 -0.598158375694 -0.6495545611 -0.979777351 -0.9746106182 -0.96006168 -0.666985588842 -0.63302334208 -0.7798032926 -0.77349377654 -0.67460562286 -0.68697757448 -0.7467172322 -0.833683087 -0.7620762142 -0.65730844026 -0.65730844026 -0.65877150874 -0.68628146254 -0.8261625254 -0.62041815976 -0.631173708744 -0.658095267 -0.692792066978 -0.6539473146 -0.8049461234 -0.79371952428 -0.64644652614 -0.7175309568 -0.70973531638 -0.67988406642 -0.7094494323886 -0.8324230914
1 "SITTING" 0.275508364680851 -0.0157434862085106 -0.106644645576596 0.490081307234043 0.100350851680851 0.178285651643191 0.0808917494680851 0.0128358643617345 -0.0241913013008511 -0.0582969419148936 -0.052759727193617 0.0844638421489362 -0.10809352187234 -0.038951006593617 -0.0734894818 -0.748409310953192 -0.748409310953192 -0.794338654680851 -0.78003922393617 -0.86955750893617 -0.778488377617021 -0.744746322585106 -0.823009291702128 -0.183274402361702 0.111341375242553 0.166748202431915 -0.792142949895745 -0.793692820510638 -0.847042648085106 0.151452622787234 -0.0761220026242553 0.0379679479125532 -0.783304669787234 -0.849296599574468 -0.806465121191489 -0.0295456619957447 -0.241532505319149 0.0467730207468085 -0.75913781198234 0.169543104924681 -0.773843999510638 0.2715516819 -0.832440266051064 -0.00282577872127659 -0.884971908085106 0.20238225302766 0.046201292 0.037124388993617 0.118935000370213 0.0956332155978723 -0.306936632553191 -0.0015270834680851 -0.125488813659574 -0.770751979574468 -0.730661466468085 -0.819201392765957 -0.980269794680851 -0.977986363617021 -0.966430846595745 -0.784914315308511 -0.777310225297872 -0.860656392914894 -0.814592365446808 -0.842262294042553 -0.823867058021277 -0.826377433255319 -0.90011427212766 -0.85176774893617 -0.774823834255319 -0.774823834255319 -0.7862394375 -0.813981953021277 -0.887998084893617 -0.768507346808511 -0.74025746512766 -0.831859042797872 -0.796727483017021 -0.774335576765957 -0.872969603443404 -0.82524162702766 -0.840242696170213 -0.846652320893617 -0.820027113148936 -0.803777948455319 -0.834290712765957 -0.900508222553192
1 "STANDING" 0.279679168641509 -0.0123644512283019 -0.110316648283019 0.700122185660377 0.157208954754717 0.244375958528302 0.0786290651132076 -0.000381021349716981 -0.00875695871584906 -0.0344929227845283 -0.0825355136037736 0.0944504394622642 -0.0964317159811321 -0.0373847776132075 -0.0609881509622641 -0.933049621320755 -0.933049621320755 -0.975325324339623 -0.934074003584906 -0.980528249433962 -0.970772201698113 -0.938850359622642 -0.939257752264151 -0.0636503006283019 0.0552158733698113 -0.0576679820377358 -0.977176154150943 -0.96157956490566 -0.967416218301887 0.195241478558491 -0.0632561226716981 -0.013603665645283 -0.969170118679245 -0.947499481509434 -0.949348997169811 0.000695102971886795 -0.165628491209434 0.00996660955660377 -0.932906862075472 -0.00309749172452831 -0.960836526603774 0.135963646850943 -0.940600291509434 -0.010614835509434 -0.97012327509434 0.0660468373207547 0.0020240349509434 -0.0205661414884906 0.0830279869622642 -0.00392629806226415 -0.555005196415094 -0.0268877049 -0.180214766528302 -0.969729030754717 -0.926015518490566 -0.908374903773585 -0.957455389622642 -0.952322493888679 -0.927784496603774 -0.97779849490566 -0.962853071886792 -0.971482187924528 -0.974459773207547 -0.938262983584906 -0.948065377169811 -0.980114082830189 -0.972352069811321 -0.979834085283019 -0.911947394962264 -0.911947394962264 -0.960331417358491 -0.920841968679245 -0.968331973584906 -0.969621419622641 -0.924770977735849 -0.900077284339623 -0.980650937924528 -0.967455950943396 -0.974234229622642 -0.976220931132075 -0.934132324528302 -0.95264931245283 -0.915737377377358 -0.958636306415094 -0.922782283773585 -0.968117970377358
1 "WALKING" 0.273416456105263 -0.0166605950243158 -0.103994478273684 0.746632063557895 -0.00756325781052632 0.0894528436336842 0.0847640331821053 0.0200419799757895 0.00580021011496842 -0.00752724889578947 -0.0911061011897895 0.0768509533189474 -0.0885491804918947 -0.0530121829905263 -0.0385729417894737 -0.581577370357895 -0.581577370357895 -0.652567851410526 -0.635900657431579 -0.74411010108421 -0.640747064894737 -0.534376107191579 -0.726121278736842 -0.140602520266316 0.0572369776242105 0.00215721600842105 -0.652249771855789 -0.608278078694737 -0.789612191578947 0.0148847763694737 -0.219610623067368 -0.116646703181053 -0.692290125757895 -0.700403673725263 -0.648728490305263 -0.0642081696821053 -0.146120992689474 0.00201048361378948 -0.593162865231579 0.0903599761576842 -0.613560866677263 0.153913493977895 -0.687168922201053 0.00733021457052632 -0.766112878147368 0.12134542672 0.0317834452357895 -0.0166451362642105 -0.00874651661894737 -0.0618452799126316 -0.576359630947368 0.0646702271452632 -0.0455222625021053 -0.632688010968421 -0.507960063356842 -0.676778605884211 -0.976363463894737 -0.959999194631579 -0.949235016526316 -0.634481600442105 -0.571080992590526 -0.802965234210526 -0.745178173117895 -0.683402238557895 -0.687494295525263 -0.714343708073684 -0.77329434648421 -0.705358786809474 -0.595552548842105 -0.595552548842105 -0.615496008978947 -0.660238589167368 -0.761784073494737 -0.631323037178947 -0.526693900471579 -0.678176797978947 -0.648937943610526 -0.559905799336842 -0.814802868842105 -0.7635824096 -0.677817653494737 -0.731355915263158 -0.662304703842105 -0.620927713289474 -0.704861710894737 -0.773708032210526
1 "WALKING_DOWNSTAIRS" 0.279445588367347 -0.0173922031685714 -0.111056056857143 0.743334799387755 -0.142694605795918 -0.188713243204082 0.0345955096367347 -0.0289244331979592 0.0625243509491633 -0.014121366244898 -0.0650885961142857 0.0979105531102041 -0.0798522299836735 -0.0398777264714286 -0.0357246042857143 -0.393296498403265 -0.393296498403265 -0.564074211734694 -0.428223065877551 -0.705213591612245 -0.534080989857143 -0.382053776518367 -0.514415808489796 -0.334176710163265 -0.112071586085714 -0.115042228987755 -0.589528471408163 -0.539428118265306 -0.66184110944898 -0.169283268673469 -0.35942293794898 -0.226596797128571 -0.611755833857143 -0.550304220165306 -0.50219654244898 -0.27595823477551 -0.333532446553061 -0.268784513320408 -0.45828547455102 -0.0359893825285714 -0.551999311387755 0.118525984146939 -0.551542286979592 -0.196370240020408 -0.738005792040816 0.0680517037755102 -0.00161492825918367 0.0958072757326531 -0.035903570755102 -0.0307209880612245 -0.499197263877551 0.170224433265306 0.154994051265306 -0.517021212408163 -0.305709924123265 -0.399202576122449 -0.965503004693878 -0.959199779795918 -0.940523913877551 -0.575677806285714 -0.522279542463265 -0.699394097673469 -0.641041005408163 -0.465775408816327 -0.445592366 -0.718900106734694 -0.72919673622449 -0.686110563061225 -0.446475896061225 -0.446475896061225 -0.570180687122449 -0.462361510897959 -0.749427982530612 -0.511554895646939 -0.313329564218367 -0.38759707144898 -0.599789911244898 -0.536863909081633 -0.73720031444898 -0.653882662734694 -0.425027654428571 -0.481638273020408 -0.527013937142857 -0.597763797020408 -0.498938693142857 -0.784162149795918
1 "WALKING_UPSTAIRS" 0.286367846415094 -0.0171151390283019 -0.106168607339623 0.536713499245283 0.12427790500566 0.0900636302354717 0.112231204641509 -0.0567964139409434 -0.0429210004701887 -0.0424604519316981 -0.0743991741490566 0.108621011037736 -0.0726742404641509 -0.0563650637207547 -0.0454969348433962 -0.436794141886792 -0.436794141886792 -0.544130678811321 -0.492240963632075 -0.626993886188679 -0.541129383641509 -0.411765526150943 -0.539022312926415 -0.287862405943396 0.0477092257377358 0.104224661964906 -0.585249756443396 -0.525732998677358 -0.605986722424151 -0.0729145803641509 -0.180567308154717 -0.0766357453943396 -0.555161167892453 -0.584492352415094 -0.502605886264151 -0.0378396828660377 -0.0749854974867925 0.0380918587171698 -0.483161963628302 0.128119616816981 -0.502850627056604 0.174071795471698 -0.564814026716981 0.0277667396396226 -0.620249754332076 0.202694079343396 -0.0727399065339623 -0.0635224915 0.112784920056604 -0.0677559615981132 -0.345996253584906 -0.055887107 -0.0591902704933962 -0.521135662301887 -0.382981089435849 -0.483566108369434 -0.95409784509434 -0.951608547735849 -0.92132391 -0.567760666528302 -0.491234695056604 -0.632380292 -0.652284909849057 -0.58303671109434 -0.537139849830189 -0.57539131690566 -0.638578955471698 -0.604512759962264 -0.488263942433962 -0.488263942433962 -0.512393522377358 -0.550489630445283 -0.617053685792453 -0.514629302113208 -0.408574337264151 -0.500913479283019 -0.588570245807547 -0.489932318622642 -0.656974829883019 -0.685804931830189 -0.589839665622641 -0.596159214528302 -0.572564395943396 -0.528899628377358 -0.624863035760377 -0.641027408220755
3 "LAYING" 0.28064703483871 -0.0190584055620968 -0.115350344693548 0.723415872741936 0.0334437231774194 0.106921332970968 0.0684790959516129 0.0202550292083871 0.00236559790580645 -0.06124435279 -0.0566769665306452 0.109518066280645 -0.0935707479736613 -0.0294541872319355 -0.0549465355919355 -0.748135924629032 -0.748135924629032 -0.789627732580645 -0.766811717274194 -0.874916176129032 -0.774880473709677 -0.739833740290323 -0.791179463548387 -0.132829621837097 0.0123761444145161 0.0972197838596774 -0.791924107709677 -0.775319930693548 -0.835093325967742 0.0664588643016129 -0.113454644795484 -0.0312991185967742 -0.836558382741936 -0.843137575 -0.792369383548387 -0.0656698731633871 -0.229468034903226 -0.0324806096725806 -0.764449104516129 0.118053647382258 -0.772748934677419 0.266970192180645 -0.842284191935484 -0.118346573425806 -0.893006558387097 0.178626399670968 -0.0169481202080645 0.00278003978709677 0.0893638674516129 0.0414682964532258 -0.561998433870968 0.045976245083871 -0.0558229110967742 -0.782563706774194 -0.741698677532258 -0.76440592483871 -0.977810203548387 -0.971899473870968 -0.954916706612903 -0.788075360790323 -0.763296138629032 -0.847073259193548 -0.863686927258065 -0.817133992387097 -0.786953458064516 -0.854746716129032 -0.893460332903226 -0.848046730483871 -0.773622743483871 -0.773622743483871 -0.778783557087097 -0.815575159032258 -0.889997945322581 -0.786059224354839 -0.759389562903226 -0.769552165967742 -0.803697831112903 -0.767173619129032 -0.857777971935484 -0.873085996290323 -0.805920818741935 -0.80507911516129 -0.814888559532258 -0.787503064516129 -0.83019613983871 -0.893843798387097
3 "SITTING" 0.273838845 -0.0175524613294231 -0.112348369886538 0.629618752692308 0.0348644584423077 0.0986432641153846 0.0743260315961538 -0.000969371913653847 -0.0104127046115385 -0.0694471517307692 -0.0426934508653846 0.105725034832692 -0.10801044 -0.0289314294230769 -0.0348399531384615 -0.665329921707692 -0.665329921707692 -0.766505994038462 -0.7476797535 -0.854348613653846 -0.716882701776923 -0.724608596867308 -0.779520500923077 -0.185628223942308 0.00736126345192308 0.0853271316146154 -0.770257689307692 -0.794201702884615 -0.832049849807692 0.0328270317115385 -0.070333150975 -0.0652509950003846 -0.790112198596154 -0.8177969525 -0.799320606153846 -0.117352095334808 -0.140150211269231 -0.0150005507942308 -0.698393105057692 0.0782020752053077 -0.763798447042308 0.312686341403846 -0.814149407884615 -0.0351664459615385 -0.862117996538462 0.242534837769231 -0.0215417136280769 0.056641643575 0.108719882307692 -0.0552063607115385 -0.427379287884615 0.0399852726923077 -0.0562829492942308 -0.673348995365385 -0.704315350076923 -0.756144136675 -0.973186031538462 -0.969636384807692 -0.945780868269231 -0.745508311269231 -0.78147201125 -0.845791881923077 -0.805769114307692 -0.824177395769231 -0.810299461730769 -0.853805584423077 -0.857197435 -0.856201803076923 -0.691813631626923 -0.691813631626923 -0.771928727211538 -0.796452585 -0.865841861673077 -0.65842898875 -0.712488130230769 -0.762811063557692 -0.743785253607692 -0.782273646961538 -0.857968160153846 -0.81254663275 -0.829914478461538 -0.831906404096154 -0.736304693825 -0.783444515980769 -0.820819592269231 -0.880571545769231
3 "STANDING" 0.27244713547541 -0.0180405682154262 -0.106703569245902 0.773612882131148 0.0712834088196721 0.14864528574918 0.0875704955644262 0.0073678889147541 7.84971252459023e-05 -0.0397709495557377 -0.0786092909081967 0.105249341447541 -0.0831209693114754 -0.0443788234196721 -0.0628070015160656 -0.67923538404918 -0.67923538404918 -0.707849812404918 -0.660664717208197 -0.690377199501639 -0.773691166885246 -0.678638152016393 -0.64309683277377 -0.137293730865246 0.0658930561442623 0.0424629658065574 -0.783844180163934 -0.72983717862459 -0.706994476295082 0.0299373671016393 -0.129763159557377 -0.119152183918033 -0.79054926147541 -0.618928148831148 -0.730585563426229 -0.0382418124786885 -0.151673019877049 -0.0477609043852459 -0.689578441868852 0.127232580114754 -0.698960670740984 0.205974054245902 -0.620969488768852 0.0454986933065574 -0.661521087508197 0.167990788054098 0.0221032955 -0.0376392585065574 0.0527204311852459 -0.055374903257377 -0.590284756229508 0.0298382446885246 -0.0966302899508197 -0.780663073442623 -0.671459660300492 -0.578674792495082 -0.974785651803279 -0.953865247868852 -0.931944800163934 -0.76515549695082 -0.706291433704918 -0.694075896496721 -0.835356248360656 -0.590354268442623 -0.729778814590164 -0.80245804295082 -0.609395199442623 -0.798639774754098 -0.704179974426229 -0.704179974426229 -0.700329574426229 -0.616757547014754 -0.627735636672787 -0.783825863114754 -0.691748320327869 -0.580506437983607 -0.766769230803279 -0.700448026967213 -0.683036241634426 -0.849945014918033 -0.577868487901639 -0.754789660983607 -0.763286196229508 -0.703140188772131 -0.683958866227869 -0.612709527265574
3 "WALKING" 0.244768951655172 -0.0265103506313793 -0.119730722 0.7335151145 -0.0405117791241379 0.0359489462758621 0.0713499519827586 0.0341409216 0.0247138544206897 -0.0705612065098276 -0.0371112776724138 0.100927502251724 -0.100045692268966 -0.0687595067862069 -0.0527990737994828 -0.442929517155172 -0.442929517155172 -0.577752858844828 -0.520947954 -0.668518875862069 -0.569614613775862 -0.412814992551724 -0.613579647241379 -0.235546632874138 0.0685701326258621 -0.0153881612241379 -0.581109707068965 -0.518131858218966 -0.722008711724138 -0.0625621418891379 -0.242088482241379 -0.141056140386207 -0.613906723706897 -0.563921201748276 -0.558538644197759 -0.0545157689844828 -0.108338908472414 0.000889933529310347 -0.491426091582759 0.0654005767103448 -0.52414188342069 0.144243251622931 -0.549247319775862 0.0279873001844828 -0.663292660431035 0.0603687751672414 0.0478413777208621 0.0694316200517241 0.130766915318966 -0.0421261426396552 -0.543725148965517 0.0821887423965517 -0.0118840815 -0.567948808775862 -0.376918290812069 -0.505925039465517 -0.941530172758621 -0.916305249965517 -0.874452310017241 -0.562551928431035 -0.47856298627069 -0.740701442241379 -0.689490618448276 -0.516615764225862 -0.615598036948276 -0.635067384568965 -0.675110834724138 -0.659147945394828 -0.49005972137931 -0.49005972137931 -0.5330243335 -0.514289238431034 -0.661012481948276 -0.569389986224138 -0.400653257458621 -0.493720839965517 -0.582880845862069 -0.47099382447069 -0.758026133448276 -0.714607116206897 -0.49701185402931 -0.672222655172414 -0.574516828448276 -0.547974828874138 -0.577309676551724 -0.682372743103448
